nutrient,unit,value,species
Arginine,%,2.66,Rainbow trout - Finisher
Histidine,%,0.94,Rainbow trout - Finisher
Isoleucine,%,1.76,Rainbow trout - Finisher
Leucine,%,2.95,Rainbow trout - Finisher
Lysine,%,2.38,Rainbow trout - Finisher
Methionine,%,0.85,Rainbow trout - Finisher
Phenylalanine,%,1.98,Rainbow trout - Finisher
Threonine,%,1.53,Rainbow trout - Finisher
Tryptophan,%,0.46,Rainbow trout - Finisher
Valine,%,2.11,Rainbow trout - Finisher
Cystine,%,0.73,Rainbow trout - Finisher
Tyrosine,%,1.23,Rainbow trout - Finisher
Taurine,%,0.06,Rainbow trout - Finisher
Linoleic 18:2 n-6,%,2.45,Rainbow trout - Finisher
EPA 20:5 n-3,%,0.60,Rainbow trout - Finisher
DHA 22:6 n-3,%,0.40,Rainbow trout - Finisher
EPA+DHA,%,1.00,Rainbow trout - Finisher
Sum_n_3,%,3.83,Rainbow trout - Finisher
Linolenic 18:3 n-3,%,4.80,Rainbow trout - Finisher
Arachidonic 20:4 n-6,%,0.04,Rainbow trout - Finisher
Sum n-6,%,5.38,Rainbow trout - Finisher
Phospholipids,%,1.27,Rainbow trout - Finisher
Cholesterol,mg,759,Rainbow trout - Finisher
Calcium,%,1.17,Rainbow trout - Finisher
Phosphorus,%,0.99,Rainbow trout - Finisher
Digestible P,%,0.60,Rainbow trout - Finisher
Dry Matter,%,92.25,Asian Seabass - Starter
Crude Protein,%,49.36,Asian Seabass - Starter
Crude Lipid,%,11.00,Asian Seabass - Starter
Crude Fibre,%,2.06,Asian Seabass - Starter
Ash,%,10.03,Asian Seabass - Starter
NFE,%,19.80,Asian Seabass - Starter
Starch,%,10.50,Asian Seabass - Starter
Dig CP -fish,%,44.00,Asian Seabass - Starter
DE Fish Carni MJ,MJ/kg,16.38,Asian Seabass - Starter
DE Fish Carni kcal,kcal/kg,3916,Asian Seabass - Starter
Arginine,%,3.30,Asian Seabass - Starter
Histidine,%,1.42,Asian Seabass - Starter
Isoleucine,%,2.09,Asian Seabass - Starter
Leucine,%,4.12,Asian Seabass - Starter
Lysine,%,3.19,Asian Seabass - Starter
Methionine,%,1.03,Asian Seabass - Starter
Phenylalanine,%,2.35,Asian Seabass - Starter
Threonine,%,1.90,Asian Seabass - Starter
Tryptophan,%,0.77,Asian Seabass - Starter
Valine,%,2.64,Asian Seabass - Starter
Cystine,%,0.87,Asian Seabass - Starter
Tyrosine,%,1.77,Asian Seabass - Starter
Taurine,%,0.09,Asian Seabass - Starter
Linoleic 18:2 n-6,%,0.33,Asian Seabass - Starter
EPA 20:5 n-3,%,0.38,Asian Seabass - Starter
DHA 22:6 n-3,%,0.30,Asian Seabass - Starter
EPA+DHA,%,0.68,Asian Seabass - Starter
Sum_n_3,%,1.12,Asian Seabass - Starter
Linolenic 18:3 n-3,%,3.01,Asian Seabass - Starter
Arachidonic 20:4 n-6,%,0.03,Asian Seabass - Starter
Sum n-6,%,3.37,Asian Seabass - Starter
Phospholipids,%,2.28,Asian Seabass - Starter
Cholesterol,mg,1222.59,Asian Seabass - Starter
Calcium,%,2.46,Asian Seabass - Starter
Phosphorus,%,1.47,Asian Seabass - Starter
Digestible P,%,0.88,Asian Seabass - Starter
Dry Matter,%,91.81,Asian Seabass - Grower
Crude Protein,%,43.72,Asian Seabass - Grower
Crude Lipid,%,12.00,Asian Seabass - Grower
Crude Fibre,%,2.14,Asian Seabass - Grower
Ash,%,8.40,Asian Seabass - Grower
NFE,%,25.55,Asian Seabass - Grower
Starch,%,14.00,Asian Seabass - Grower
Dig CP -fish,%,39.00,Asian Seabass - Grower
DE Fish Carni MJ,MJ/kg,16.26,Asian Seabass - Grower
DE Fish Carni kcal,kcal/kg,3885,Asian Seabass - Grower
Arginine,%,2.93,Asian Seabass - Grower
Histidine,%,1.25,Asian Seabass - Grower
Isoleucine,%,1.80,Asian Seabass - Grower
Leucine,%,3.59,Asian Seabass - Grower
Lysine,%,2.77,Asian Seabass - Grower
Methionine,%,0.91,Asian Seabass - Grower
Phenylalanine,%,2.12,Asian Seabass - Grower
Threonine,%,1.67,Asian Seabass - Grower
Tryptophan,%,0.67,Asian Seabass - Grower
Valine,%,2.38,Asian Seabass - Grower
Cystine,%,0.77,Asian Seabass - Grower
Tyrosine,%,1.52,Asian Seabass - Grower
Taurine,%,0.07,Asian Seabass - Grower
Linoleic 18:2 n-6,%,0.48,Asian Seabass - Grower
EPA 20:5 n-3,%,0.28,Asian Seabass - Grower
DHA 22:6 n-3,%,0.23,Asian Seabass - Grower
EPA+DHA,%,0.51,Asian Seabass - Grower
Sum_n_3,%,1.10,Asian Seabass - Grower
Linolenic 18:3 n-3,%,4.20,Asian Seabass - Grower
Arachidonic 20:4 n-6,%,0.02,Asian Seabass - Grower
Sum n-6,%,4.68,Asian Seabass - Grower
Phospholipids,%,2.14,Asian Seabass - Grower
Cholesterol,mg,977.16,Asian Seabass - Grower
Calcium,%,1.86,Asian Seabass - Grower
Phosphorus,%,1.22,Asian Seabass - Grower
Digestible P,%,0.69,Asian Seabass - Grower
Dry Matter,%,91.86,Asian Seabass - Finisher
